,value,trait_type,collectionTokenId
0,All Ignitions,Ignition,9000448
1,Seed: 50148432490378970,Ignition,9000448
2,Mystery Feature: Day mode,Ignition,9000448
3,Number of Lasers: 3,Ignition,9000448
4,All Ignitions,Ignition,9000449
5,Seed: 44975385161862860,Ignition,9000449
6,Mystery Feature: Night mode,Ignition,9000449
7,Number of Lasers: 14,Ignition,9000449
8,All Ignitions,Ignition,9000450
9,Seed: 12629090549536116,Ignition,9000450
10,Mystery Feature: Night mode,Ignition,9000450
11,Number of Lasers: 2,Ignition,9000450
12,All Ignitions,Ignition,9000451
13,Seed: 59496875163142296,Ignition,9000451
14,Mystery Feature: Day mode,Ignition,9000451
15,Number of Lasers: 2,Ignition,9000451
16,All Ignitions,Ignition,9000452
17,Seed: 31664911196909320,Ignition,9000452
18,Mystery Feature: Day mode,Ignition,9000452
19,Number of Lasers: 9,Ignition,9000452
20,All Ignitions,Ignition,9000453
21,Seed: 58618439943765304,Ignition,9000453
22,Mystery Feature: Day mode,Ignition,9000453
23,Number of Lasers: 11,Ignition,9000453
24,All Ignitions,Ignition,9000454
25,Seed: 12637062568486880,Ignition,9000454
26,Mystery Feature: Day mode,Ignition,9000454
27,Number of Lasers: 2,Ignition,9000454
28,All Ignitions,Ignition,9000455
29,Seed: 70692094250643420,Ignition,9000455
30,Mystery Feature: Day mode,Ignition,9000455
31,Number of Lasers: 10,Ignition,9000455
32,All Ignitions,Ignition,9000456
33,Seed: 13582279736845654,Ignition,9000456
34,Mystery Feature: Night mode,Ignition,9000456
35,Number of Lasers: 5,Ignition,9000456
36,All Ignitions,Ignition,9000457
37,Seed: 25434919764438212,Ignition,9000457
38,Mystery Feature: Day mode,Ignition,9000457
39,Number of Lasers: 4,Ignition,9000457
40,All Ignitions,Ignition,9000458
41,Seed: 38517434216611340,Ignition,9000458
42,Mystery Feature: Night mode,Ignition,9000458
43,Number of Lasers: 5,Ignition,9000458
44,All Ignitions,Ignition,9000459
45,Seed: 51231075153429470,Ignition,9000459
46,Mystery Feature: Bi-colors mode,Ignition,9000459
47,Number of Lasers: 6,Ignition,9000459
48,All Ignitions,Ignition,9000460
49,Seed: 57671837418912984,Ignition,9000460
50,Mystery Feature: Day mode,Ignition,9000460
51,Number of Lasers: 3,Ignition,9000460
52,All Ignitions,Ignition,9000461
53,Seed: 17093635410803864,Ignition,9000461
54,Mystery Feature: Night mode,Ignition,9000461
55,Number of Lasers: 5,Ignition,9000461
56,All Ignitions,Ignition,9000462
57,Seed: 7867746635472664,Ignition,9000462
58,Mystery Feature: Day mode,Ignition,9000462
59,Number of Lasers: 5,Ignition,9000462
60,All Ignitions,Ignition,9000463
61,Seed: 16372142184595636,Ignition,9000463
62,Mystery Feature: Day mode,Ignition,9000463
63,Number of Lasers: 3,Ignition,9000463
64,All Ignitions,Ignition,9000464
65,Seed: 49192785284323600,Ignition,9000464
66,Mystery Feature: Day mode,Ignition,9000464
67,Number of Lasers: 4,Ignition,9000464
68,All Ignitions,Ignition,9000465
69,Seed: 37551773032518830,Ignition,9000465
70,Mystery Feature: Day mode,Ignition,9000465
71,Number of Lasers: 6,Ignition,9000465
72,All Ignitions,Ignition,9000466
73,Seed: 5476926513474007,Ignition,9000466
74,Mystery Feature: Night mode,Ignition,9000466
75,Number of Lasers: 6,Ignition,9000466
76,All Ignitions,Ignition,9000467
77,Seed: 18992105319212280,Ignition,9000467
78,Mystery Feature: Night mode,Ignition,9000467
79,Number of Lasers: 5,Ignition,9000467
80,All Ignitions,Ignition,9000468
81,Seed: 36020042313366868,Ignition,9000468
82,Mystery Feature: Night mode,Ignition,9000468
83,Number of Lasers: 8,Ignition,9000468
84,All Ignitions,Ignition,9000469
85,Seed: 59276721643451590,Ignition,9000469
86,Mystery Feature: Day mode,Ignition,9000469
87,Number of Lasers: 6,Ignition,9000469
88,All Ignitions,Ignition,9000470
89,Seed: 13620942090385356,Ignition,9000470
90,Mystery Feature: Day mode,Ignition,9000470
91,Number of Lasers: 11,Ignition,9000470
92,All Ignitions,Ignition,9000471
