,hash,value,gasPrice,gas
0,0x1b1a438c8edb61cd43793a40b11445f6669072b48c6ec2053c367b142d9c54c6,0.95,1.3e-08,2.41443e-13
1,0xbd2dda7b30073284614370dcfc5410b95dceba80222315d42dacdf90311d6a8e,0.45,1.3e-08,2.34925e-13
2,0x0b42a6084b3c2fbb18b9f5f24aaf7d012995bf2a59ff6a9ad2387c580773c65d,0.0,3.6626167471e-08,9.6898e-14
3,0x28b45176fb634789d5bdfee3a46c18a8ffe2b37973f59db11ce2b5f4dc3e362e,0.13,6.5e-08,5.48305e-13
4,0x1e99ae78d675ce535369cc01c70e2284e3063e72b94670a4e11b55737c49a4ce,0.13,6.5e-08,5.70096e-13
5,0xfae8342c721cee942aae2816fb9aa050a8aa1c0e66a33c533d8864cd0a68d13f,0.3,2.9e-08,2.41431e-13
6,0x729f7000f1fec0b40c3a9bcd365ef74688e47a6726acbc90d773d64ec97b718c,0.5,1.6e-08,2.35168e-13
7,0x21e46ad6466a6bae778de19e28687e69aa970319cf18dc76ba00ce3ed600c541,0.0,2.3e-08,9.6898e-14
8,0xc26807a2d3a5ccead9bcf0a60626f8e8a41388a9c182bcb0b99d82a06de1827b,0.13,6.3e-08,5.93362e-13
9,0x2ad87ec12597e4d18aaf0d5494456756e88ba26db672009eff92dc41a4845e9e,0.198,5.34e-08,2.41443e-13
10,0x9af7d91782368b361db2afe89a89c37f2696570f03d0c86aa47bde9c1c16df86,0.499,3.5e-08,2.34974e-13
11,0xfba42857be4c03570024a51f9d9182f2c2e9d29002725fbadf722291a5db951a,2.75,6.0265471351e-08,3.0241e-13
12,0xe0d527770df3779128beacd4bd5952f82e45359290c501f0801aaca492d401ef,0.13,6.280989e-08,5.93362e-13
13,0x694ced8ddf41bf5a85261da7c1b100b7aaab9df088020c3fbf2e01955303fe75,0.35,1e-08,2.55914e-13
14,0x5171cfcd06661c31662b5bf7391c300ea01cab649c3708875e51a24eb495b2fc,0.0,6e-09,1.03327e-13
15,0xf29f7af01575f090734bfe7ccaa8e04cfebfd00a26f752b5c810223217d8db70,0.13,6.27e-08,5.93362e-13
16,0x6b2bb70429da377f5346bce39763019660510c86703cbbe3903aa8da5ad1dd24,0.0,4.2e-08,1.5499e-13
17,0x4bbe8ac51e6190f00e7c9dcd7b2ac7fc7b8c43d31dbac622b59d4bd5e53c1104,0.0,1.6e-08,8.6215e-14
18,0xd302acf361e0b41c75a4c0c989a425dd0573f43d2d3667a7b2847164c35bbf39,0.13,7.5e-08,5.93362e-13
19,0x022444b03ac30120517dbc78dba372f16e2e20b835827891409167bb0e18efc7,0.0,1.1e-08,2.79848e-13
20,0x3c8c915d5dfd558d4a6c86ec6dbb69da961dfe69f9f0424291b951cb8f9679c4,1.0,3.6e-08,2.34925e-13
21,0xfa1864d1943388c4b6283a506bba40efa8ff072c65d871d858624af52d007215,1.65,2.9e-08,2.58944e-13
22,0xcdbba4f46b13db00b85dff4cc657f0668789d835f18971dc0349f6889d18362f,0.13,6.9e-08,5.93362e-13
23,0x5bf13afbcda8aebf5ad70d3dff7e0735ef19abd7cb4d28e431cd55b51b4dbb50,0.13,6.2e-08,5.48305e-13
24,0xb4c3470dcdbd910f50d680a34ab2db81b754ea9141b400fb9673e7af41bcb33a,0.45,1.51e-08,2.24188e-13
25,0xb0e4ae8aa2ed976b9924ac1db19c06b08097cb41456978b0980f4b3d8a3f137f,0.13,6.2e-08,5.71572e-13
26,0xdebc4ef58512a0093c396fad9a2060f8aaa8e642d15fb1402d1ffb40eacc70e1,2.0,6.5104596631e-08,2.34938e-13
27,0xce5e669ff2bf418afa0b02d27310afb598cb13694447a2199ebc652c21c970b6,3.39,1.84171702748e-07,3.46938e-13
28,0x0ff7ed0be8996dba267f242600240bc277b877db46aa07d089dde107a9d948db,0.0,1.11622953596e-07,3.78479e-13
29,0xfb255d9bdcdf85f60ac05c2f35fb2cbfcae14abaf4810887237f15a038c0d2d1,2.343,6.0645071109e-08,3.11883e-13
30,0x3d66726c577a3640161e38574956598dbe031159bbc4143753add922a9b3c8a6,0.13,6.2e-08,5.70096e-13
31,0x0412462822af7a315360b77362b70929fd0a726d09c73913a65e96235cbb1cd1,6.0,6.7e-08,3.24661e-13
32,0xe00a4554babe7dd43d4b5f29858e651137c6705285d0b2278b53983e4fc95723,1.089,7.7417237606e-08,2.97309e-13
33,0xd0da06e3e083e40a95c74a8aef0484388a43d38a87955cf258474a8a2cfdd198,0.0,5.2579047693e-08,8.6227e-14
34,0x0bb15975712b53941db9891e6b4e49d43da500795aeb3b89377e958f3da01ca7,0.13,6.2e-08,5.71572e-13
35,0x1761dda3b4836e40c5426d9d3e47317e7ae63d338f46e817a8912a13b8f5f174,0.42,5e-08,2.24443e-13
36,0x3979a94c192b48ed8b818d8f81ef7575d0373e3b683972bce9c5a2dd0b008a12,0.499,1.8e-08,2.35204e-13
37,0x8c56937d781f8f567e861513bd89e36687fe3fe7e25153d2aafd19b867ab6a90,0.13,6.2e-08,5.93362e-13
38,0x4937df605cae5ed1c675c3b90f9e959e6bb007493e106f5adb310c41fd9d2e37,0.0,1.859e-08,2.79606e-13
39,0x744f3f9e77dbac637647658367e81e154ca5551ea72ac76495bca42e3da395a5,1.0,1.301e-08,2.34978e-13
40,0xc70ef824b1e857ab596fb093cdbe78ec0452a2a0ee13f22d1f643790d1658ff1,1.69,3.9e-08,2.34938e-13
41,0xe2e685129d5bf1f23c043ba4105d19e8ea6f0b7a9cac5081eaf957224020aafd,0.13,6.1e-08,5.70096e-13
42,0x9c6a275d2a7470ec390e8a81e7030f82702c91c181dbe4a52b5aeecd82b57eeb,0.0,1.6e-08,1.03327e-13
43,0x5873eda57420966233d84fc082aed3cb2162daaa65a89a8e28a4e02a3f298ccb,0.398,2.173e-08,2.24172e-13
44,0xefc70a55b32c81d340669d7d35c3ff629fbc94202588c5804fb635492662d7b1,0.13,6.05e-08,5.93362e-13
45,0xb221edb4b84ac903c46278a769660ae3c9b66aaef37836b561709c698bebdc41,0.0,4e-08,1.54972e-13
46,0xeff9900cb00e493388446e0279d69442a81316291143e82ddb314db2802c1a80,0.0,1.7e-08,8.6215e-14
47,0x6fa3bab26375d9b592164750f7dac4148d1c155b9495bb88870abdaa962be812,1.5,1.8123000729e-08,2.34913e-13
48,0x66410df3bd69098b3b05c209109751b1f65829bf297b90c8956febe5c62496f7,0.13,6.0000000001e-08,5.71572e-13
49,0x3ba145f2157c6e56accf6695b8597a326dde40822753fd8e152196f4df304c9c,0.13,6e-08,5.93362e-13
50,0xe9fa76c7d8864138c5ffe6ca2b669a19567a8ab26bac618f190cd8e8cf018720,0.0,1.7e-08,2.79606e-13
51,0x640c019e1a65d25c2f515fd20b995b662766010d06bd2c7750605342bbec1439,0.9,2.5e-08,2.35192e-13
52,0x4414faced0768dca238a459f4bdb43b17eb4a7f0340c24e5255b077fa2accb7b,0.13,6e-08,5.48305e-13
53,0x60b3423c3e73deedc7fafc3cf0fcb9863bc4266326f4baa62432898e84d1287a,0.345,1.84e-08,2.24148e-13
54,0x0648b5cdb631d7be9d552d2e81fffc3b3b6219d94063d4c4de593e4e13babf51,0.0,3.425625e-08,9.6898e-14
55,0x9ef00e5470629332ace881b9e8c970ca3f858fe2691f1e6d495fdffeb7899b71,0.13,6e-08,5.48305e-13
56,0xe9a84aa5d92a1d2b3e82fce5d284c5d464a93393edcfb3c045dda827b33d4a60,0.205,1.62e-08,2.24249e-13
57,0xdbc4f5c308a040cac73422e17b0c6f53c29db0d770b96efaa6298cb38055f1e8,0.13,6e-08,5.77008e-13
58,0x2e893314a2afcb9d94f6132a9acdd41f2cfa619c5fe6c21713c0252bbcd11f53,0.88,1.6e-08,2.56104e-13
59,0xa7276715fb5e213c206e02ffc4b0bf63a3a480289c28d0b52bdb28a6d231d2a1,0.66,1.3e-08,2.52221e-13
60,0x6849d2fae37a7d30042355d2ba017f16d2a1ee1c8066633cea8f7ce3b0af68c5,5.88,3.90142764485e-07,3.02759e-13
61,0x8ddaf34962117ab365dbc3e0e0fb1f3052b3cf8d5b4e82e29ded3cf597207a6b,8.0,1.23392030062e-07,3.02676e-13
62,0x3a761216db6faceb28a771928341d52eee201350dc68cb78ba8c3e4c7d8c0bc1,0.13,6e-08,5.71572e-13
63,0x19765d7e5d949cd12b13dad3f0f351935490cc3be224c2b8fd6717f86ef2bf0d,0.48,2.6e-08,2.34913e-13
