Categoria: Todas as categorias

Semana,Ethereum: (A nível mundial)
2017-07-16,20
2017-07-23,13
2017-07-30,13
2017-08-06,15
2017-08-13,16
2017-08-20,14
2017-08-27,17
2017-09-03,16
2017-09-10,14
2017-09-17,12
2017-09-24,10
2017-10-01,9
2017-10-08,12
2017-10-15,14
2017-10-22,12
2017-10-29,14
2017-11-05,15
2017-11-12,14
2017-11-19,22
2017-11-26,33
2017-12-03,37
2017-12-10,48
2017-12-17,44
2017-12-24,28
2017-12-31,38
2018-01-07,51
2018-01-14,42
2018-01-21,26
2018-01-28,27
2018-02-04,23
2018-02-11,16
2018-02-18,15
2018-02-25,12
2018-03-04,13
2018-03-11,12
2018-03-18,12
2018-03-25,13
2018-04-01,10
2018-04-08,9
2018-04-15,9
2018-04-22,11
2018-04-29,11
2018-05-06,11
2018-05-13,9
2018-05-20,9
2018-05-27,8
2018-06-03,7
2018-06-10,8
2018-06-17,6
2018-06-24,6
2018-07-01,5
2018-07-08,5
2018-07-15,6
2018-07-22,6
2018-07-29,6
2018-08-05,7
2018-08-12,9
2018-08-19,6
2018-08-26,6
2018-09-02,7
2018-09-09,9
2018-09-16,6
2018-09-23,5
2018-09-30,5
2018-10-07,5
2018-10-14,5
2018-10-21,4
2018-10-28,4
2018-11-04,5
2018-11-11,5
2018-11-18,6
2018-11-25,5
2018-12-02,5
2018-12-09,5
2018-12-16,5
2018-12-23,5
2018-12-30,6
2019-01-06,6
2019-01-13,5
2019-01-20,4
2019-01-27,4
2019-02-03,4
2019-02-10,4
2019-02-17,5
2019-02-24,5
2019-03-03,4
2019-03-10,4
2019-03-17,3
2019-03-24,3
2019-03-31,5
2019-04-07,4
2019-04-14,4
2019-04-21,4
2019-04-28,4
2019-05-05,4
2019-05-12,9
2019-05-19,6
2019-05-26,6
2019-06-02,4
2019-06-09,4
2019-06-16,7
2019-06-23,10
2019-06-30,7
2019-07-07,10
2019-07-14,13
2019-07-21,4
2019-07-28,4
2019-08-04,4
2019-08-11,4
2019-08-18,4
2019-08-25,4
2019-09-01,4
2019-09-08,4
2019-09-15,5
2019-09-22,4
2019-09-29,3
2019-10-06,4
2019-10-13,3
2019-10-20,4
2019-10-27,3
2019-11-03,3
2019-11-10,3
2019-11-17,3
2019-11-24,3
2019-12-01,3
2019-12-08,3
2019-12-15,4
2019-12-22,3
2019-12-29,4
2020-01-05,4
2020-01-12,5
2020-01-19,4
2020-01-26,4
2020-02-02,6
2020-02-09,9
2020-02-16,8
2020-02-23,6
2020-03-01,5
2020-03-08,7
2020-03-15,7
2020-03-22,5
2020-03-29,5
2020-04-05,6
2020-04-12,6
2020-04-19,7
2020-04-26,8
2020-05-03,8
2020-05-10,8
2020-05-17,7
2020-05-24,7
2020-05-31,8
2020-06-07,7
2020-06-14,7
2020-06-21,7
2020-06-28,7
2020-07-05,8
2020-07-12,7
2020-07-19,10
2020-07-26,17
2020-08-02,17
2020-08-09,14
2020-08-16,12
2020-08-23,10
2020-08-30,14
2020-09-06,10
2020-09-13,9
2020-09-20,8
2020-09-27,7
2020-10-04,6
2020-10-11,6
2020-10-18,8
2020-10-25,8
2020-11-01,9
2020-11-08,10
2020-11-15,13
2020-11-22,20
2020-11-29,15
2020-12-06,11
2020-12-13,15
2020-12-20,15
2020-12-27,25
2021-01-03,61
2021-01-10,48
2021-01-17,41
2021-01-24,40
2021-01-31,51
2021-02-07,56
2021-02-14,54
2021-02-21,53
2021-02-28,37
2021-03-07,40
2021-03-14,34
2021-03-21,30
2021-03-28,39
2021-04-04,38
2021-04-11,49
2021-04-18,50
2021-04-25,51
2021-05-02,91
2021-05-09,100
2021-05-16,89
2021-05-23,69
2021-05-30,49
2021-06-06,40
2021-06-13,33
2021-06-20,41
2021-06-27,33
2021-07-04,32
2021-07-11,29
2021-07-18,31
2021-07-25,34
2021-08-01,47
2021-08-08,50
2021-08-15,39
2021-08-22,37
2021-08-29,45
2021-09-05,44
2021-09-12,32
2021-09-19,36
2021-09-26,31
2021-10-03,35
2021-10-10,38
2021-10-17,45
2021-10-24,44
2021-10-31,49
2021-11-07,52
2021-11-14,47
2021-11-21,43
2021-11-28,45
2021-12-05,42
2021-12-12,41
2021-12-19,36
2021-12-26,36
2022-01-02,44
2022-01-09,43
2022-01-16,45
2022-01-23,49
2022-01-30,41
2022-02-06,39
2022-02-13,33
2022-02-20,34
2022-02-27,30
2022-03-06,27
2022-03-13,25
2022-03-20,28
2022-03-27,31
2022-04-03,27
2022-04-10,25
2022-04-17,23
2022-04-24,22
2022-05-01,23
2022-05-08,37
2022-05-15,25
2022-05-22,23
2022-05-29,23
2022-06-05,23
2022-06-12,48
2022-06-19,33
2022-06-26,25
2022-07-03,22
