"DateTime";"Active market wallets";"Average USD"
"2020-11-27 00:00:00";111;32,21
"2020-11-28 00:00:00";184;23,8
"2020-11-29 00:00:00";74;25,57
"2020-11-30 00:00:00";22;39,63
"2020-12-01 00:00:00";20;26,13
"2020-12-02 00:00:00";33;22,74
"2020-12-03 00:00:00";27;22,21
"2020-12-04 00:00:00";36;23,81
"2020-12-05 00:00:00";26;20,19
"2020-12-06 00:00:00";20;19,1
"2020-12-07 00:00:00";23;20,96
"2020-12-08 00:00:00";15;18,34
"2020-12-09 00:00:00";25;22,07
"2020-12-10 00:00:00";32;18,46
"2020-12-11 00:00:00";19;19,02
"2020-12-12 00:00:00";97;26,98
"2020-12-13 00:00:00";47;43,04
"2020-12-14 00:00:00";22;23,26
"2020-12-15 00:00:00";28;27,84
"2020-12-16 00:00:00";16;27,82
"2020-12-17 00:00:00";9;37,29
"2020-12-18 00:00:00";31;46,95
"2020-12-19 00:00:00";24;31,91
"2020-12-20 00:00:00";19;33,33
"2020-12-21 00:00:00";51;60,4
"2020-12-22 00:00:00";12;22,63
"2020-12-23 00:00:00";63;16,1
"2020-12-24 00:00:00";24;24,11
"2020-12-25 00:00:00";16;20,4
"2020-12-26 00:00:00";25;21,85
"2020-12-27 00:00:00";33;27,41
"2020-12-28 00:00:00";17;30,93
"2020-12-29 00:00:00";19;26,2
"2020-12-30 00:00:00";14;100,3
"2020-12-31 00:00:00";22;64,08
"2021-01-01 00:00:00";140;80,87
"2021-01-02 00:00:00";54;94,98
"2021-01-03 00:00:00";37;523,61
"2021-01-04 00:00:00";11;289,69
"2021-01-05 00:00:00";21;364,65
"2021-01-06 00:00:00";18;109,19
"2021-01-07 00:00:00";8;208,51
"2021-01-08 00:00:00";142;274,96
"2021-01-09 00:00:00";58;349,8
"2021-01-10 00:00:00";61;339,51
"2021-01-11 00:00:00";17;66,88
"2021-01-12 00:00:00";62;118,97
"2021-01-13 00:00:00";66;83,22
"2021-01-14 00:00:00";42;59,99
"2021-01-15 00:00:00";48;45,96
"2021-01-16 00:00:00";214;82,32
"2021-01-17 00:00:00";66;433,53
"2021-01-18 00:00:00";73;369,2
"2021-01-19 00:00:00";34;516,8
"2021-01-20 00:00:00";36;54,32
"2021-01-21 00:00:00";115;130,79
