"DateTime";"Unique buyers";"Unique sellers"
"2020-11-27 00:00:00";110;12
"2020-11-28 00:00:00";180;17
"2020-11-29 00:00:00";72;8
"2020-11-30 00:00:00";17;5
"2020-12-01 00:00:00";17;5
"2020-12-02 00:00:00";27;10
"2020-12-03 00:00:00";22;6
"2020-12-04 00:00:00";31;6
"2020-12-05 00:00:00";24;3
"2020-12-06 00:00:00";19;2
"2020-12-07 00:00:00";21;5
"2020-12-08 00:00:00";13;3
"2020-12-09 00:00:00";21;6
"2020-12-10 00:00:00";29;4
"2020-12-11 00:00:00";16;5
"2020-12-12 00:00:00";93;8
"2020-12-13 00:00:00";38;12
"2020-12-14 00:00:00";16;10
"2020-12-15 00:00:00";22;9
"2020-12-16 00:00:00";11;5
"2020-12-17 00:00:00";6;3
"2020-12-18 00:00:00";28;7
"2020-12-19 00:00:00";16;10
"2020-12-20 00:00:00";14;7
"2020-12-21 00:00:00";48;5
"2020-12-22 00:00:00";8;4
"2020-12-23 00:00:00";56;8
"2020-12-24 00:00:00";15;10
"2020-12-25 00:00:00";10;7
"2020-12-26 00:00:00";20;5
"2020-12-27 00:00:00";23;12
"2020-12-28 00:00:00";10;7
"2020-12-29 00:00:00";14;5
"2020-12-30 00:00:00";7;7
"2020-12-31 00:00:00";16;8
"2021-01-01 00:00:00";134;19
"2021-01-02 00:00:00";39;20
"2021-01-03 00:00:00";20;21
"2021-01-04 00:00:00";7;5
"2021-01-05 00:00:00";12;10
"2021-01-06 00:00:00";11;7
"2021-01-07 00:00:00";4;4
"2021-01-08 00:00:00";133;38
"2021-01-09 00:00:00";36;28
"2021-01-10 00:00:00";39;28
"2021-01-11 00:00:00";12;5
"2021-01-12 00:00:00";43;20
"2021-01-13 00:00:00";46;28
"2021-01-14 00:00:00";30;16
"2021-01-15 00:00:00";37;14
"2021-01-16 00:00:00";195;44
"2021-01-17 00:00:00";38;36
"2021-01-18 00:00:00";42;43
"2021-01-19 00:00:00";18;18
"2021-01-20 00:00:00";20;19
"2021-01-21 00:00:00";108;24
"2021-01-22 00:00:00";16;13
"2021-01-23 00:00:00";15;14
"2021-01-24 00:00:00";16;14
"2021-01-25 00:00:00";17;19
"2021-01-26 00:00:00";118;26
"2021-01-27 00:00:00";25;26
"2021-01-28 00:00:00";13;14
"2021-01-29 00:00:00";9;18
"2021-01-30 00:00:00";8;5
"2021-01-31 00:00:00";204;48
"2021-02-01 00:00:00";28;51
"2021-02-02 00:00:00";21;38
"2021-02-03 00:00:00";20;17
