"DateTime";"Primary Sales";"Secondary sales"
"2020-11-27 00:00:00";1554;23
"2020-11-28 00:00:00";863;60
"2020-11-29 00:00:00";304;20
"2020-11-30 00:00:00";59;4
"2020-12-01 00:00:00";68;12
"2020-12-02 00:00:00";228;23
"2020-12-03 00:00:00";215;5
"2020-12-04 00:00:00";352;6
"2020-12-05 00:00:00";311;1
"2020-12-06 00:00:00";157;0
"2020-12-07 00:00:00";128;3
"2020-12-08 00:00:00";52;1
"2020-12-09 00:00:00";116;4
"2020-12-10 00:00:00";231;2
"2020-12-11 00:00:00";87;4
"2020-12-12 00:00:00";827;4
"2020-12-13 00:00:00";119;30
"2020-12-14 00:00:00";81;9
"2020-12-15 00:00:00";63;21
"2020-12-16 00:00:00";25;7
"2020-12-17 00:00:00";10;2
"2020-12-18 00:00:00";81;12
"2020-12-19 00:00:00";75;7
"2020-12-20 00:00:00";122;6
"2020-12-21 00:00:00";208;0
"2020-12-22 00:00:00";109;0
"2020-12-23 00:00:00";62;3
"2020-12-24 00:00:00";114;25
"2020-12-25 00:00:00";36;20
"2020-12-26 00:00:00";209;2
"2020-12-27 00:00:00";454;11
"2020-12-28 00:00:00";25;7
"2020-12-29 00:00:00";30;3
"2020-12-30 00:00:00";5;4
"2020-12-31 00:00:00";35;9
"2021-01-01 00:00:00";1093;34
"2021-01-02 00:00:00";174;27
"2021-01-03 00:00:00";34;24
"2021-01-04 00:00:00";3;4
"2021-01-05 00:00:00";12;11
"2021-01-06 00:00:00";12;4
"2021-01-07 00:00:00";0;4
"2021-01-08 00:00:00";547;61
"2021-01-09 00:00:00";59;38
"2021-01-10 00:00:00";111;37
"2021-01-11 00:00:00";12;3
"2021-01-12 00:00:00";105;24
"2021-01-13 00:00:00";283;65
"2021-01-14 00:00:00";260;31
"2021-01-15 00:00:00";726;41
"2021-01-16 00:00:00";1822;67
"2021-01-17 00:00:00";12;63
"2021-01-18 00:00:00";17;103
"2021-01-19 00:00:00";10;26
"2021-01-20 00:00:00";224;35
"2021-01-21 00:00:00";420;39
"2021-01-22 00:00:00";36;20
"2021-01-23 00:00:00";49;16
"2021-01-24 00:00:00";12;16
"2021-01-25 00:00:00";17;18
"2021-01-26 00:00:00";437;26
"2021-01-27 00:00:00";5;36
"2021-01-28 00:00:00";4;16
"2021-01-29 00:00:00";3;19
"2021-01-30 00:00:00";4;5
"2021-01-31 00:00:00";1003;86
"2021-02-01 00:00:00";3;78
"2021-02-02 00:00:00";6;58
"2021-02-03 00:00:00";6;21
"2021-02-04 00:00:00";3;40
"2021-02-05 00:00:00";6;12
"2021-02-06 00:00:00";0;7
"2021-02-07 00:00:00";457;50
"2021-02-08 00:00:00";260;53
"2021-02-09 00:00:00";51;41
"2021-02-10 00:00:00";21;44
"2021-02-11 00:00:00";57;22
"2021-02-12 00:00:00";25;21
"2021-02-13 00:00:00";460;67
"2021-02-14 00:00:00";47;127
"2021-02-15 00:00:00";338;147
"2021-02-16 00:00:00";186;169
"2021-02-17 00:00:00";240;125
"2021-02-18 00:00:00";79;87
"2021-02-19 00:00:00";1151;176
"2021-02-20 00:00:00";203;254
"2021-02-21 00:00:00";1131;281
"2021-02-22 00:00:00";178;239
"2021-02-23 00:00:00";453;431
"2021-02-24 00:00:00";259;412
"2021-02-25 00:00:00";0;135
"2021-02-26 00:00:00";15;129
"2021-02-27 00:00:00";602;184
"2021-02-28 00:00:00";513;200
"2021-03-01 00:00:00";370;166
"2021-03-02 00:00:00";1000;224
"2021-03-03 00:00:00";0;199
"2021-03-04 00:00:00";3;122
"2021-03-05 00:00:00";723;167
"2021-03-06 00:00:00";0;155
"2021-03-07 00:00:00";0;67
"2021-03-08 00:00:00";1;87
"2021-03-09 00:00:00";1;79
"2021-03-10 00:00:00";1;66
"2021-03-11 00:00:00";3;85
"2021-03-12 00:00:00";1;80
"2021-03-13 00:00:00";0;39
"2021-03-14 00:00:00";0;42
"2021-03-15 00:00:00";1;41
"2021-03-16 00:00:00";1;54
"2021-03-17 00:00:00";1499;182
"2021-03-18 00:00:00";0;294
