"DateTime";"Number of sales";"Sales USD"
"2020-11-27 00:00:00";1577;50793,59
"2020-11-28 00:00:00";923;21966,6
"2020-11-29 00:00:00";324;8285,57
"2020-11-30 00:00:00";63;2496,48
"2020-12-01 00:00:00";80;2090,09
"2020-12-02 00:00:00";251;5707,13
"2020-12-03 00:00:00";220;4885,18
"2020-12-04 00:00:00";358;8525,22
"2020-12-05 00:00:00";312;6297,88
"2020-12-06 00:00:00";157;2998,9
"2020-12-07 00:00:00";131;2745,26
"2020-12-08 00:00:00";53;971,82
"2020-12-09 00:00:00";120;2647,83
"2020-12-10 00:00:00";233;4300,51
"2020-12-11 00:00:00";91;1730,73
"2020-12-12 00:00:00";831;22420,2
"2020-12-13 00:00:00";149;6412,59
"2020-12-14 00:00:00";90;2093,53
"2020-12-15 00:00:00";84;2338,8
"2020-12-16 00:00:00";32;890,33
"2020-12-17 00:00:00";12;447,5
"2020-12-18 00:00:00";93;4366,66
"2020-12-19 00:00:00";82;2616,31
"2020-12-20 00:00:00";128;4266,51
"2020-12-21 00:00:00";208;12563,24
"2020-12-22 00:00:00";109;2466,62
"2020-12-23 00:00:00";65;1046,3
"2020-12-24 00:00:00";139;3351,48
"2020-12-25 00:00:00";56;1142,35
"2020-12-26 00:00:00";211;4609,8
"2020-12-27 00:00:00";465;12745,82
"2020-12-28 00:00:00";32;989,8
"2020-12-29 00:00:00";33;864,49
"2020-12-30 00:00:00";9;902,73
"2020-12-31 00:00:00";44;2819,7
"2021-01-01 00:00:00";1127;91139,68
"2021-01-02 00:00:00";201;19090,64
"2021-01-03 00:00:00";58;30369,26
"2021-01-04 00:00:00";7;2027,86
"2021-01-05 00:00:00";23;8386,93
"2021-01-06 00:00:00";16;1747,08
"2021-01-07 00:00:00";4;834,03
"2021-01-08 00:00:00";608;167176,82
"2021-01-09 00:00:00";97;33930,32
"2021-01-10 00:00:00";148;50246,9
"2021-01-11 00:00:00";15;1003,24
"2021-01-12 00:00:00";129;15347,59
"2021-01-13 00:00:00";348;28960,73
"2021-01-14 00:00:00";291;17456,32
"2021-01-15 00:00:00";767;35249,54
"2021-01-16 00:00:00";1889;155495,85
"2021-01-17 00:00:00";75;32514,7
"2021-01-18 00:00:00";120;44303,56
"2021-01-19 00:00:00";36;18604,8
"2021-01-20 00:00:00";259;14068,99
"2021-01-21 00:00:00";459;60030,62
"2021-01-22 00:00:00";56;11554,5
"2021-01-23 00:00:00";65;4490,69
"2021-01-24 00:00:00";28;4301,38
"2021-01-25 00:00:00";35;11123,06
"2021-01-26 00:00:00";463;84329,24
"2021-01-27 00:00:00";41;21437,97
"2021-01-28 00:00:00";20;8979,09
"2021-01-29 00:00:00";22;8327,13
"2021-01-30 00:00:00";9;1669,5
"2021-01-31 00:00:00";1089;183533,69
"2021-02-01 00:00:00";81;69861,4
"2021-02-02 00:00:00";64;88238,08
"2021-02-03 00:00:00";27;13453,79
"2021-02-04 00:00:00";43;22318,78
"2021-02-05 00:00:00";18;8201,21
"2021-02-06 00:00:00";7;38775,01
"2021-02-07 00:00:00";507;194838,03
"2021-02-08 00:00:00";313;79156,93
"2021-02-09 00:00:00";92;61867,18
"2021-02-10 00:00:00";65;49007,51
"2021-02-11 00:00:00";79;24806,33
"2021-02-12 00:00:00";46;17386,16
"2021-02-13 00:00:00";527;168448,29
"2021-02-14 00:00:00";174;165335,07
"2021-02-15 00:00:00";485;228249,36
"2021-02-16 00:00:00";355;184681,26
"2021-02-17 00:00:00";365;140461,8
"2021-02-18 00:00:00";166;89294,81
"2021-02-19 00:00:00";1327;449892,49
"2021-02-20 00:00:00";457;385932,43
"2021-02-21 00:00:00";1412;606005,22
"2021-02-22 00:00:00";417;769939,75
"2021-02-23 00:00:00";884;644530,65
"2021-02-24 00:00:00";671;983934,55
"2021-02-25 00:00:00";135;217031,53
"2021-02-26 00:00:00";144;263131,32
"2021-02-27 00:00:00";786;895869,61
"2021-02-28 00:00:00";713;854912,56
"2021-03-01 00:00:00";536;642847,01
"2021-03-02 00:00:00";1224;487265,8
"2021-03-03 00:00:00";199;358654,63
"2021-03-04 00:00:00";125;427153,26
"2021-03-05 00:00:00";890;515683,24
"2021-03-06 00:00:00";155;368239,93
"2021-03-07 00:00:00";67;125785,93
"2021-03-08 00:00:00";88;157651,26
"2021-03-09 00:00:00";80;180003,84
"2021-03-10 00:00:00";67;174536,52
