"DateTime";"Active market wallets";"Average USD"
"2017-06-23 00:00:00";8;53,7
"2017-06-24 00:00:00";17;59,09
"2017-06-25 00:00:00";10;39,81
"2017-06-26 00:00:00";14;30,33
"2017-06-27 00:00:00";22;63,42
"2017-06-28 00:00:00";11;83,15
"2017-06-29 00:00:00";20;57,52
"2017-06-30 00:00:00";13;81,34
"2017-07-01 00:00:00";13;314,08
"2017-07-02 00:00:00";21;94,34
"2017-07-03 00:00:00";24;142,15
"2017-07-04 00:00:00";28;232,86
"2017-07-05 00:00:00";12;102,24
"2017-07-06 00:00:00";15;305,31
"2017-07-07 00:00:00";19;191,42
"2017-07-08 00:00:00";18;107,6
"2017-07-09 00:00:00";16;80,76
"2017-07-10 00:00:00";22;288,83
"2017-07-11 00:00:00";20;132,78
"2017-07-12 00:00:00";17;104,63
"2017-07-13 00:00:00";24;171
"2017-07-14 00:00:00";6;64,06
"2017-07-15 00:00:00";7;109,94
"2017-07-16 00:00:00";4;106,4
"2017-07-17 00:00:00";7;290,44
"2017-07-18 00:00:00";17;97,39
"2017-07-19 00:00:00";12;110,86
"2017-07-20 00:00:00";10;112,03
"2017-07-21 00:00:00";12;101,67
"2017-07-22 00:00:00";13;80,37
"2017-07-23 00:00:00";9;70,28
"2017-07-24 00:00:00";18;75,12
"2017-07-25 00:00:00";12;221,18
"2017-07-26 00:00:00";7;62,9
"2017-07-27 00:00:00";4;55,88
"2017-07-28 00:00:00";8;74,8
"2017-07-29 00:00:00";7;125,85
"2017-07-30 00:00:00";10;92,44
"2017-07-31 00:00:00";4;106,73
"2017-08-01 00:00:00";4;54,5
"2017-08-02 00:00:00";2;525,74
"2017-08-03 00:00:00";16;219,04
"2017-08-04 00:00:00";0;0
"2017-08-05 00:00:00";2;759,47
"2017-08-06 00:00:00";0;0
"2017-08-07 00:00:00";2;76,52
"2017-08-08 00:00:00";8;199,52
"2017-08-09 00:00:00";4;89,12
"2017-08-10 00:00:00";4;90,52
"2017-08-11 00:00:00";10;82,42
