"evt_block_time","tokens_minted"
"2021-07-01","122"
"2021-07-02","913"
"2021-07-03","648"
"2021-07-04","127"
"2021-07-05","1172"
"2021-07-06","17"
"2021-07-07","1050"
"2021-07-08","30"
"2021-07-09","418"
"2021-07-10","1067"
"2021-07-11","782"
"2021-07-12","131"
"2021-07-13","124"
"2021-07-14","408"
"2021-07-15","487"
"2021-07-16","341"
"2021-07-17","1882"
"2021-07-18","130"
"2021-07-19","652"
"2021-07-20","132"
"2021-07-21","793"
"2021-07-22","135"
"2021-07-23","1311"
"2021-07-24","118"
"2021-07-25","108"
