,evt_block_time,tokens_minted
0,2020-11-27,1554
1,2020-11-28,863
2,2020-11-29,304
3,2020-11-30,59
4,2020-12-01,68
5,2020-12-02,235
6,2020-12-03,268
7,2020-12-04,355
8,2020-12-05,331
9,2020-12-06,162
10,2020-12-07,128
11,2020-12-08,52
12,2020-12-09,116
13,2020-12-10,231
14,2020-12-11,89
15,2020-12-12,827
16,2020-12-13,119
17,2020-12-14,81
18,2020-12-15,63
19,2020-12-16,25
20,2020-12-17,10
21,2020-12-18,108
22,2020-12-19,70
23,2020-12-20,288
24,2020-12-21,206
25,2021-07-26,1096
26,2021-07-27,1627
27,2021-07-28,846
28,2021-07-29,102
29,2021-07-30,1172
30,2021-07-31,4825
31,2021-08-01,1782
32,2021-08-02,6184
33,2021-08-03,1041
34,2021-08-04,769
35,2021-08-05,19
36,2021-08-06,1048
37,2021-08-07,1051
38,2021-08-08,21
39,2021-08-09,1592
40,2021-08-10,21
41,2021-08-11,1814
42,2021-08-12,8
43,2021-08-13,3
44,2021-08-14,514
45,2021-08-15,6
46,2021-08-16,370
47,2021-08-17,1100
48,2021-08-18,931
49,2021-08-19,4
50,2021-08-20,1025
51,2021-08-21,1424
52,2021-08-22,2
53,2021-08-23,2003
54,2021-08-24,3
55,2021-08-25,1525
56,2021-08-26,16
57,2021-08-27,1002
58,2021-08-28,1383
59,2021-08-29,4
60,2021-08-30,2004
61,2021-08-31,101
62,2021-09-01,1204
63,2021-09-02,3
64,2021-09-03,1002
65,2021-09-04,16
66,2021-09-05,3
67,2021-09-06,1
68,2021-09-07,1016
69,2021-09-08,8
70,2021-09-09,1186
71,2021-09-10,370
72,2021-09-13,1024
73,2021-09-14,1996
74,2021-09-15,35
75,2021-09-16,1014
76,2021-09-17,385
77,2021-09-18,2
78,2021-09-19,1
79,2021-09-20,1
80,2021-09-21,1000
81,2021-09-22,1009
82,2021-09-23,679
83,2021-09-24,1276
84,2021-09-25,147
85,2021-09-26,147
86,2021-09-27,1808
87,2021-09-28,1579
88,2021-09-29,66
89,2021-09-30,834
90,2021-10-01,1868
91,2021-10-02,372
92,2021-10-03,66
93,2021-10-04,41
94,2021-10-05,324
95,2021-10-06,1092
96,2021-10-07,30
97,2021-10-08,42
98,2021-10-09,35
99,2021-10-10,17
100,2021-10-11,12
101,2021-10-12,16
102,2021-10-13,1049
103,2021-10-14,39
104,2021-10-15,193
105,2021-10-16,147
106,2021-10-17,75
107,2021-10-18,14
108,2021-10-19,737
109,2021-10-20,208
110,2021-10-21,1483
111,2021-10-22,66
112,2021-10-23,43
113,2021-10-24,60
114,2021-10-25,26
115,2021-10-26,137
116,2021-10-27,61
117,2021-10-28,114
118,2021-10-29,647
119,2021-10-30,526
120,2021-10-31,36
121,2021-11-01,60
122,2021-11-02,141
123,2021-11-03,175
124,2021-11-04,117
125,2021-11-05,372
126,2021-11-06,142
127,2021-11-07,99
128,2021-11-08,1019
129,2021-11-09,129
130,2021-11-10,71
131,2021-11-11,178
132,2021-11-12,265
133,2021-11-13,291
134,2021-11-14,297
135,2021-11-15,1522
136,2021-11-16,2092
137,2021-11-17,60
138,2021-11-18,62
139,2021-11-19,228
140,2021-11-20,178
141,2021-11-21,112
142,2021-11-22,1066
143,2021-11-23,494
144,2021-11-24,151
145,2021-11-25,52
146,2021-11-26,56
147,2021-11-27,79
148,2021-11-28,26
149,2021-11-29,1047
150,2021-11-30,85
151,2021-12-01,34
152,2021-12-02,110
153,2021-12-03,39
154,2021-12-04,61
155,2021-12-05,85
156,2021-12-06,1033
157,2021-12-07,955
158,2021-12-08,194
159,2021-12-09,769
160,2021-12-10,176
161,2021-12-11,108
162,2021-12-12,80
163,2021-12-13,1043
164,2021-12-14,1264
165,2021-12-15,178
166,2021-12-16,213
167,2021-12-17,550
168,2021-12-18,246
169,2021-12-19,73
170,2021-12-20,1071
171,2021-12-21,234
172,2021-12-22,111
173,2021-12-23,58
174,2021-12-24,37
175,2021-12-25,87
176,2021-12-26,2027
177,2021-12-27,64
178,2021-12-28,52
179,2021-12-29,70
180,2021-12-30,51
181,2021-12-31,94
182,2022-01-01,69
183,2022-01-02,45
184,2022-01-03,136
185,2022-01-04,51
186,2022-01-05,13
187,2022-01-06,75
188,2022-01-07,267
189,2022-01-08,43
190,2022-01-09,26
191,2022-01-10,1018
